term,coef,std_err,t,p,ci_low,ci_high
Intercept,81.46,6.14,13.27,0.0,69.34,93.58
Size (100 sq ft),13.45,0.3,45.46,0.0,12.87,14.04
LakeView = Yes,46.15,9.01,5.12,0.0,28.36,63.93
Size × LakeView,7.47,0.46,16.22,0.0,6.56,8.38
Age (years),-0.96,0.07,-13.4,0.0,-1.1,-0.82
Distance (km),-7.59,0.24,-31.03,0.0,-8.07,-7.1
